;enviado email;   alertas;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;
s;30/mar;;;RJ;LIMA FARMA;São Luís - MA;(98) 3246-6958;antonio ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Tocantins Medicamentos;Imperatriz - MA;(99) 3524-1675;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;COFARMINAS;;33 3277 9200;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;comercial vera cruz;belo horizonte;31 2112 8804;luiz ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;COMPRECERTO;uberlandia;34 3229 6060;REGINALDO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISK MED PADUA ;;32 3465 3250   3 ;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DIST CENTRO OESTE DE MED ;PIMENTA;37 3324 1244;AUGUSTO ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;distriam;uberlandia;(34) 3293-3900;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora Gama - Rio de Janeiro;Belford Roxo - RJ;031 3135031700;luana;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;distrimix;;33 3322 6850;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;divimed;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DSG FARMA;PASSOS;35 3521 5000;VANTUIU;thiagosampaio60@gmail.com;vanessa  //  geraldo após 17 hs mandar 2 cx
s;30/mar;;;RJ;ECOFARMA;JUIZ DE FORA ;(32) 3235-1020;erico;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;emis minas;;31 3408 8008;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;ENTREFARMA  //   FARMARCAS;LUZ;11 3283 3737;CARLOS EDUARDO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;GILDROGAS;GOV ;33 2101 4400;DOUGLAS;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;GIRO FARMA ;JUIZ DE FORA ;(32) 3216-6106 / (32) 3215-0514;;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;JC Produtos Farmacêuticos e Hospitalares;Visc. do Rio Branco - MG;(32) 3551-4690;;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;KZ Distribuidora;Além Paraíba ;(32) 3462-1498;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;LUCHE FARMA DIST MED ;pouso alegre;35 2102 8300;;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;Medfarm Comércio de Produtos Farmacêuticos;Muriaé - MG;(32) 3722-4404;vinicius ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;meditem;uberlandia;0800 34 7577;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;minas med;ponto dos volantes;33 9 9136 9011;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Minas Vendas Distribuição;;(34) 3225-0518;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;MINASFARMA;monte claros;38 3212 3188;MARCOS;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Realpharma Distribuidora de Medicamentos;cons lafaiete;(31) 3762-0444;ANA LUCIA;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;rede mgfarma;;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;rede minas brasil ;montes claros ;38 32184574 ;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;rede minasmais;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;rede nova drogarias;;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;stockfarma;pocos de caldas ;35 3697 4500;gustavo;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;TSN OLIV COM ATAC;CARATINGA;33 3322 3375;TIAGO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Delta Medicamentos;Campo Grande - MS;(67) 4002-6400;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DP4 MS;Campo Grande - MS;(67) 3345-1600;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;JAT Distribuidora;Campo Grande - MS;(67) 3047-9300;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Disbem;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Marka Distribuidora Medicamentos;Várzea Grande - MT;(65) 3694-7537;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;MT PHARMACY DISTRIB DE MEDICAM;Cuiabá - MT;(65) 2127-0380;salvioni;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Altamed Distribuidora de Medicamentos Ltda;Ananindeua;(91) 3346-0446;bruno ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Amazonmed;Belem;(91) 3231-9020;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;American Farma;Ananindeua;(91) 3210-3800;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;BENTES E SOUZA ;Manaus - AM;98 3261 9100;EDSOM / NUBIA;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;BRAGANTINA DISTRIBUIDORA;BRAGANÇA;91 3425 2450;RAISSA;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Brasfarma;Belem;(91) 3131-6200;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Centrofarma Distribuidora Farmacêutica;Castanhal;(91) 3721-3302;63 32192800;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;COM E REP PRADO;Belem;;MAURO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Compharma Comercio de Medicamentos;Santarém;(93) 3512-0351;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;DIMEC DISTRIB;SANTA M.DO PARA;91 3442 1883;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora Millenium;Belem;(91) 3257-9511;mauricio;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora MM Lobato Medicanentos;Belem;(91) 3201-1000;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora Pérola Pharma De Medicam;Santarém;(93) 3522-2912;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora Cristalfarma;Ananindeua;(91) 3255-5616;katia.lopes;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Farmaceutica Distribuidora Ltda;Ananindeua;(91) 3223-2320;joao ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Hospmed Distribuidora Pará;Ananindeua;(91) 3226-1597;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Mapemi - Brasil - Distrib e logística farmac;Ananindeua;(92) 3182-4200;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;NORTEMED;Castanhal;(91) 3711-4085;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PARAMED;Belem;91 3254 6701;FABIO;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Costa Com Atacadista de Produtos Farmacêuticos;campina Grande – PB;083 3337 3628;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distrib de Medic Brasil e Farmaum;João Pessoa - PB;(83) 4009-2200;walasson;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;Express Distribuidora de Medicamentos;João Pessoa - PB;(83) 3233-9798;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;FARMACIA DIAS;CAMPINA GDE;83 3310 6000;EDSON;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;grupo elfa;João Pessoa - PB;83 2106 2435;;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;LARMED;Campina Grande;(83) 3331-1673;83 9135 5910 junior;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;Meirelles Farma;Campina Grande;(83) 3331-2343;;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;PONTUAL DISTRIBUIDORA;João Pessoa, PB;(83) 3222-7890;felipe;thiagosampaio60@gmail.com;14 hs
s;31/mar;;;RJ;QUESALON DIST DE PROD FARMAC;João Pessoa, PB;(83) 3234-0646;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;QUESALON DIST DE PROD FARMAC 2;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;VASCONCELOS COM DE PROD FARMAC;Nov Floresta, PB;(83) 3374-1503;wilma;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;ACRIPEL;Recife - PE;81 3267 1350;anderson;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Alcance Distribuidora Nordeste;J dos Guararapes;(81) 3203-9177;Yuri;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Dismepe Distribuidora De Medicamentos;Recife - PE;(81) 3128-7496;paulo ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISTRIBUIDORA SANTA MARIA;Recife - PE;81 3092 7990;MARCO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DROGAFONTE;Recife - PE;(81) 2102-1845;juliana;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Exclusive Farma Distribuidora;Recife - PE;(81) 3037-4040;fabiola ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Exomed Representação e Distrib de Medicamentos Ltda;Recife - PE;(81) 3117-7766;daniel ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Exomed Representação e Distrib de Medicamentos Ltda;Recife - PE;(81) 3117-7766;fernando;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;farmacias FTB;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Focus Distribuidora;J dos Guararapes - PE;(81) 3227-7011;joao ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Grupo ABS;Serra Talhada - PE;(87) 3831-3076;anderson;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Grupo CDM - PE;Recife - PE;(81) 3202-0400;;thiagosampaio60@gmail.com;
c;01/abr;;;RJ;IDEAL DIST DE MED;Recife - PE;81 3312 5656;compas@idealdist.com.br;thiagosampaio60@gmail.com;nr
s;30/mar;;;RJ;MELHORFARMA DIST;JABOATAO ;(81) 3375-1353;KASSIA;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Oncoexo;Recife - PE;(81) 3034-5948;81 3268 6330;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Orgafarma Organização Farmacêutica LTDA PE;PE;0800 030 0990;andre;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PAGUE MENOS;;;;thiagosampaio60@gmail.com;
s;28/mar;;;RJ;pharmamed dist;Recife - PE;81 9 88990 2518;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PHARMAMED DIST;Recife - PE;81 3249 9838;manuela  janaina;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Pharmaplus Distribuidora de Medicamentos e Produtos Hospitalares;Afogados da Ingazeira - PE;(87) 3838-1652;tomas;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;A M Farma Distribuidora;Teresina - PI;(86) 3223-7807;junior;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;ALTERNATIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA ME;Teresina - PI;(86) 3218-6072;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;CORELI;;TERESINA;ALEXANDRE;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DIMENSÃO DIST DE MED;Teresina - PI;86 3218 9600;CIRLEIA;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISTRIBUIDORA PARNAIBA DE MED;Teresina - PI;86 3133 8100;JOBSON;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Droga Rocha (Distribuidora de Medicamentos LTDA);Teresina - PI;(86) 3198-0750;CARLOS;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;farmacia permanente;Maceió - AL;87 3762 3000;ivan;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Medfarma;Teresina - PI;(86) 3303-9915;josimar;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;TOTAL DISTRIBUIDORA DE BABOES;Teresina - PI;85 3311 2350;GLEIDSON;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Angaí Distrbuidora;Colombo;(41) 3606-7535;leila;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISTRIBUIDORA DE MEDICAMENTOS CADIS;Pato Branco, PR;(46) 3225-2255;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora de Medicamentos Casarotto Ltda - DIMECAL;cascavel;(45) 3226-0351;cleiton;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DROGAMAIS;LONDRINA;43 3372 2606;leandro;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;drogaria nissei;Curitiba;41 3213 8200;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;gcmedicamentos;;48 3524 8100;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;GiraBrasil Distribuidora;Curitiba;(41) 3285-5000;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Lumann Distribuidora de Medicamentos Ltda;fco beltrao;(46) 2601-0680;maicon;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Marymed Distribuidora de Medicamentos e Correlatos;maringa;(44) 3040-3818;lenita;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;NDS - Distribuidora Prati Donaduzzi;toledo;45) 2103-7800;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Pontamed Farmacêutica;ponta grossa;(42) 2101-5151;rafael ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PROHOSP Distribuidora de Medicamentos Ltda;Curitiba;(41) 3246-3376;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Quimion Distribuidora Farmacêutica Ltda;LONDRINA;(43) 3321-1526;(43)30323210  eduardo;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;RM DISTRIBUIDORA DE MEDICAMENTOS - PENIEL;maringa;(44) 4009-3000;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Vision Distribuidora;apucarana;(43) 3033-8000;samuel ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Belinutri Distribuidora de Medicamentos Ltda.;Rio de Janeiro - RJ;(21) 3194-2200;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;CITYFARMA;Rio de Janeiro - RJ;;HUDSON;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distrifar Distribuidora Ltda.;Rio de Janeiro - RJ;(21) 3194-9500;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DROGARIAS CONCEITO;Rio de Janeiro - RJ;21 2787 5385;CELIO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Especifarma Comércio de Medicamentos e Pro Hospitalares;Rio de Janeiro - RJ;(21) 2417-9700;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;farma pontual;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Integralmed Distribuidora de Medicamentos LTDA;Niterói - RJ;(21) 2622-9710;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Like Med Distribuidora de Oficinais e Correlatos;São João de Meriti - RJ;(21) 3162-0522;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Medgroup Offshore Distribuidora de Medicamentos e Prod;Macaé - RJ;(22) 2762-1020;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;medicamentos futura;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Megamed;São João de Meriti - RJ;(21) 2751-4701;jonatah;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;nova rede drogarias;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;RIO DROG ;Rio de Janeiro - RJ;21 21049900;RICARDO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;S3 Med Distribuidora de Medicamentos Ltda;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;suprafarma;;;;thiagosampaio60@gmail.com;
s;30/mar;cont;;RJ;Valente Pharma;Rio de Janeiro - RJ;(21) 2426-9439  021 9.6412 0443;antonio ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;;;;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Artmed;Natal - RN;(84) 3211-9821;ranieri ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;CERTA MEDICAMENTOS;NATAL;;GILDSON;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DIMESE;CAICO;84 3421 1380;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Dismese;Caicó - RN;0800 084 7000;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Distribuidora Roma Natal;Parnamirim - RN;(84) 3643-6677;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISTRIFARMA;Caicó - RN;(84) 3417-1930;jessica;thiagosampaio60@gmail.com;
c;01/abr;;;RJ;Nacional Comércio - CENTRO DE DISTRIBUIÇÃO;Natal - RN;(84) 3025-9397;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;POLYFARMA DIST DE MED;NATAL;84 3223 4039;WILSON emanoel ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;POTIGUAR FARMACEUTICA;NATAL;84 3605 9953;BRUNO;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;PRONTOMEDICA DISTRIBUIDORA DE PRODUTOS PARA SAÚDE;Natal - RN;(84) 3092-8000;;thiagosampaio60@gmail.com;
k;01/abr;;;RJ;RJ3 Distribuidora de Medicamentos;Natal - RN;(84) 3346-6304;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Sodimed Comércio e Rep Ltda;Natal - RN;(84) 3213-4466;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DIMEFE - Distr de Medic Fernandes;Ji-Paraná - RO;(69) 3411-2100;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Minas Distribuidora;Ji-Paraná - RO;(68) 3223-7553;sales ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;MINAS DISTRIBUIDORA PRODUTOS FARMACÊUTICOS;Porto Velho, RO;(69) 3421 5591;sales ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Sou Mais Saúde;Vilhena - RO;(69) 3322-4963;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;FARMAVIGOR;Boa Vista, RR;(95) 3628-5443;vidia;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Mapemi - Brasil Distribuição e logística farmacêutica;Manaus - AM;(92) 3182-4200;darciano ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;SANTA MÔNICA DIST. DE PROD FARMAC LTDA- BOA VISTA RR;Boa Vista;95) 3625-9958;luis;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;WM DISTRIBUIDORA DE MEDICAMENTOS;Boa Vista, RR;(95) 3623-3879   /6115;walber;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;AGAFARMA;;51 3349 3100;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Cervosul Distribuidora de Medicamentos;eldorado do sul;51 3230 4000;;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;Ciamed Distribuidora;encantado rs;(51) 3751-9300;marina ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;comercial Trimed;;;RENATA E OU VANESSA;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Dalmedsul Medicamentos Eireli;Entre Rios do Sul;(54) 3544-1800;54 996291742;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;DIFREMEL;RS;55 3744 4377;NEUSA;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Farmasul Distribuidora;porto alegre;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Focofarma Distribuidora de Medicamentos; ;0800 646 1005;alex ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Gauchafarma;porto alegre;(51) 3382-2000;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Gemil Distribuidora de Produtos Farmacêuticos;Santa Maria;(55) 3027-9550;55 9 9977 1811;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;grupo Maiora;Canoas;(51) 3032-8900;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Kley Hertz;porto alegre;(51) 3346-8488;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Licimed Distribuidora de Medicamentos e Correlatos LTDA;porto alegre;(51) 3076-8181;priscila  oncologico;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Madre Distribuidora de Medicamentos;Santa Cruz do Sul;(51) 3121-1213;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Medlive Produtos Médico Hospitalares;Vera Cruz;(51) 3718-7600;vinicius ;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;medpharma;;51 3344 2701;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Neosul Distribuidora De Medicamentos;porto alegre;(51) 3061-8000;cristiane;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Oniz Distribuidora;Cachoeirinha;(51) 2136-7969;roberta;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Riopasa - Distribuidora Medicamentos;porto alegre;(51) 3344-0401/ 3368 7158;taiuane  ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;RS Distribuidora de Medicamentos Ltda - Megabem;Caxias d oSul;(54) 99145-4524;ligar daqui um pouco ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;vida farmacias ;;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;ASAMED Distribuidora;são jose;(48) 3034-5714;andrea;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Dalmed Distribuidora de Medicamentos;chapecó;(49) 3331-3010;luiz ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;DIFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;;(47) 3345-1410;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Diprosul Distribuidora;são jose;(48) 3112-4300;marcio;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Edera Distribuidora de Medicamentos;ararangua;48-3524 4380;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Farmamed Distribuidora;Blumenau; (47) 3327-3416;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Florifarma Distribuidora Farmaceutica;são jose;(48) 3381-0700;helton;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Infinity Medicamentos;joinville;(47) 3202-5440;vivane;thiagosampaio60@gmail.com;
s;29/mar;cont;;RJ;KFG  distribuidora;eloisio;(48) 3080-9100;;thiagosampaio60@gmail.com;48 9 8802 7284
s;31/mar;;;RJ;Multimed Medicamentos;Blumenau;(47) 3334-1818;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Neobras Distribuidora De Medicamentos;palhoca;(48) 3035-0400;karine;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Pelegrini Distribuidora de Produtos Farmacêuticos;gov elco ramos ;(48) 3285-4444;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Prosaude Distribuidora de Medicamentos;chapecó;(49) 3324-5585;karine;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Riomed;Rio do Sul;(47) 3531-8000;roberta;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;S&R Distribuidora de Medicamentos;chapecó;(49) 3323-0360;cleide;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;STYLOFARMA;Blumenau;47 3327 8012;LEONARDO;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Werbran Distribuidora De Medicamentos Ltda;fco beltrao;(46) 3211-5000;ediane;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Promédh Dist. de Prod. Farm. Med. e Hospitalaes Ltda.;Aracaju;(79) 3019-6888;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;SANFARMA;Aracaju, SE; (79) 3231-4232;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Somed Distribuidora de Medicamentos;Aracaju;(79) 3021-0765;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;YVMED PRODUTOS FARMACÊUTICOS E HOSPITALARES EIRELI;Nossa Sra. do Socorro - SE;(79) 3254-8885;rodrigo;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Disdrog Comercial;FERNANDOPOLI ; (17) 3462-7366;delcio;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;DISMAIS  ANDORINHA MED;SÃO PAULO;11 3014 0509  0800169663;ANDRESSA;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;DIST ELITE;SÃO PAULO;11 4469 4400;juliao;thiagosampaio60@gmail.com;
s;30/mar;;;RJ;DISTR NAVARRO;SÃO PAULO;11 3946 2172  11 3948 0881;ELISANA;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;DROGACENTER;ribeirao ;16 3603 0111 rm 173;romulo ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;drogaria total;;016 2133 5656;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;elite distribuidora ;;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Expressa Distribuidora de Medicamentos;Recife - PE;(11) 2184-0700;adriana badaro;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;F1 Farma;BEBEDOURO;17 3344 8080;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;FARMA E CIA;SÃO PAULO;11 3628 1344;CELIA;thiagosampaio60@gmail.com;
