;enviado email;         Inviável ;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL
;E;;;GO;centrofarma;;CATALÃO ;murillo;murillo@centralfarm.net
;E;;;GO;DELTAMED;goiania;62 3998 4950;SUELLEM;compras02@deltamedhosp.com.br
;E;;;GO;Distribuidora BRASIL;;(62) 3565-1600;marcela;compras3@brasil.net
;E;;;GO;Distribuidora Medcom;;(62) 4009-7600;janiara;raquel.borges@distribuidoramedcom.com.br
;E;;;GO;GOIAS LOG DE MED ;goiania;62 3089 8900;;compras01@goiassaude.com
;E;;;GO;Goiás Saúde Distrib de Medicam e Correlatos;;(62) 3089-8900;luciano;compras@goiassaude.com
;E;;;GO;JLN DISTRIBUIDORA ;goiania;62 3548.4600;ANDERSON;compraslabor@uol.com.br
;E;;;GO;LABOR COM E REPRESENTAÇÕES ;goiania;62-3204.2590;anderson;saulodefreitas01@hotmail.com
;E;;;GO;medcentro DIST DE PROD FARM;;62 3278 8081 ;dionatan;dionatan@medcentro.com.br
;E;;;GO;MEDCENTRO DIST DE PROD FARM;goiania;62-3278.8081;camila;camila@totalgo.com.br
;E;;;GO;Medcentro Distrib de Prod Farmacêuticos;R. 15, 55;(62) 3278-8081;jamilson;jamilson@totalgo.com.br
;E;;;GO;RMHOSPITALAR;goiania;62 4006 3993;janaina;compras@rmhospitalar.com
;E;;;GO;Tech Med Distribuidora de Medicamentos;;61 9 9610 0070;;techmeddistribuidora@gmail.com
;E;;;MA;CARVALHO DISTRIBUIDORA;;SÃO LUIZ ;EMANUELA;EMANOELA@CARVALHODISTRIBUICAO.COM.BR
;E; ;;MA;DISMASUL distribuidora de medicamentos e materiais hospitalares;Imperatriz - MA;(99) 3525-2688;raisa;dismasulcompras@hotmail.com
;E;;;MA;Distribuidora de Medicamentos Maximus;São Luís - MA;(98) 3311-0505;;i.diagnostica@hotmail.com
;E;;;MA;Gran Medh Distribuidora de Medicamentos;São Luís - MA;(98) 3236-5481;;granmedh@granmedh.com.br
;E;;;MA;ITAFARMA COM REP;IMPERATRIZ;99 3523 3076;ITALO;ITAFRAN@HOTMAIL.COM
;E;;;MA;LIMA FARMA;São Luís - MA;(98) 3246-6958;antonio ;vlrlimacomercio@hotmail.com
ok;E;;;MA;Tocantins Medicamentos;Imperatriz - MA;(99) 3524-1675;;tocamed.comercial@gmail.com
;E;;;MG;COFARMINAS;;33 3277 9200;;compras@cofarminas.com.br
;E;;;MG;COMPRECERTO;uberlandia;34 3229 6060;REGINALDO;reginaldo@redecomprecerto.com.br
;E;;;MG;DISK MED PADUA ;;32 3465 3250   3 ;;thiago@diskmedpadua.com.br
;E;;;MG;DIST CENTRO OESTE DE MED ;PIMENTA;37 3324 1244;AUGUSTO ;augusto@distrimed.com.br
;E;;;MG;distriam;uberlandia;(34) 3293-3900;;cleomar@distriam.com.br
;E;;;MG;distrimix;;33 3322 6850;;comprasdistrimix@hotmail.com
;E;;;MG;DSG FARMA;PASSOS;35 3521 5000;VANTUIU;contato@dsgfarma.com.br  att geraldo magela 
;E;;;MG;ECOFARMA;JUIZ DE FORA ;(32) 3235-1020;erico;erico@ecofarma.com.br
;E;;;MG;ENTREFARMA  //   FARMARCAS;LUZ;11 3283 3737;CARLOS EDUARDO;carlos.castro@entrefarma.com.br
;E;;;MG;GILDROGAS;GOV ;33 2101 4400;DOUGLAS;douglasterra@gildrogas.com.br
;E;;;MG;LUCHE FARMA DIST MED ;pouso alegre;35 2102 8300;;julivan@luchefarma.com.br
;E;;;MG;Minas Vendas Distribuição;;(34) 3225-0518;;gustavo@minasvendas.com.br
;E;;;MG;MINASFARMA;monte claros;38 3212 3188;MARCOS;comercial3@redeminasfarma.com.br
;E;;;MG;Realpharma Distribuidora de Medicamentos;cons lafaiete;(31) 3762-0444;ANA LUCIA;LICITACAOREALPHARMA3@GMAIL.COM
;E;;;MG;TSN OLIV COM ATAC;CARATINGA;33 3322 3375;TIAGO;tiago@tnsatacadista.com.br
ok;E;;;MG;Distribuidora Gama - Rio de Janeiro;Belford Roxo - RJ;031 3135031700;luana;luana.andrade@distribuidoragama.com.br
ok;E;;;MG;divimed;;;;comercial@divimed.com.br
ok;E;;;MG;GIRO FARMA ;JUIZ DE FORA ;(32) 3216-6106 / (32) 3215-0514;;girofarma@girofarma.com.br
ok;E;;;MG;rede mgfarma;;;;MGFARMA.REDE@GMAIL.COM
ok;E;;;MG;rede minasmais;;;;elenice@drogariasminasmais.com.br
ok;E;;;MG;rede nova drogarias;;;;alan@redeinovadrogarias.com.br
;E;;;MS;DP4 MS;Campo Grande - MS;(67) 3345-1600;;arildo.pereira@dp4.com.br
;E;;;MS;JAT Distribuidora;Campo Grande - MS;(67) 3047-9300;;jacdistribuidora@gmail.com
ok;E;;;MS;Delta Medicamentos;Campo Grande - MS;(67) 4002-6400;;deltamedicamentos@hotmail.com
;E;;;MT;Marka Distribuidora Medicamentos;Várzea Grande - MT;(65) 3694-7537;;carlosdmoreli@gmail.com
;E;;;MT;MT PHARMACY DISTRIB DE MEDICAM;Cuiabá - MT;(65) 2127-0380;salvioni;licitacao@mtpharmacy.com.br
ok;E;;;MT;;;;;caio_disbem@hotmail.com
;E;;;PA;Altamed Distribuidora de Medicamentos Ltda;Ananindeua;(91) 3346-0446;bruno ;compras@altamedltda.com.br
;E;;;PA;Amazonmed;Belem;(91) 3231-9020;;comercial@amazonmed.com.br
;E;;;PA;American Farma;Ananindeua;(91) 3210-3800;;adriana.magalhaes@americanfarma.com
;E;;;PA;BENTES E SOUZA ;Manaus - AM;98 3261 9100;EDSOM / NUBIA;vendas@bentesesousa.com.br
;E;;;PA;BRAGANTINA DISTRIBUIDORA;BRAGANÇA;91 3425 2450;RAISSA;DISTRIBUIDORABRAGANTINA@HOTMAIL.COM
;E;;;PA;Brasfarma;Belem;(91) 3131-6200;;brasfarma.farma@globo.com
;E;;;PA;Centrofarma Distribuidora Farmacêutica;Castanhal;(91) 3721-3302;63 32192800;compras@centrofarma.net
;E;;;PA;COM E REP PRADO;Belem;;MAURO;MAURO@DISTRIBUIDORAPRADO.COM.BR
;E;;;PA;Compharma Comercio de Medicamentos;Santarém;(93) 3512-0351;;contato@distcompharma.com
;E;;;PA;DIMEC DISTRIB;SANTA M.DO PARA;91 3442 1883;;SM@GMAIL.COM
;E;;;PA;Distribuidora Millenium;Belem;(91) 3257-9511;mauricio;adm@distmillenium.com.br
;E;;;PA;Distribuidora MM Lobato Medicanentos;Belem;(91) 3201-1000;;andrelobato@mmlobato.com.br
;E;;;PA;Distribuidora Pérola Pharma De Medicam;Santarém;(93) 3522-2912;;distribuidora.jjstm@gmail.com
;E;;;PA;Distribuidora Cristalfarma;Ananindeua;(91) 3255-5616;katia.lopes;COMPRAS@CRISTALFARMA.COM.BR
;E;;;PA;Farmaceutica Distribuidora Ltda;Ananindeua;(91) 3223-2320;joao ;farmaceuticadistribuidora@hotmail.com
;E;;;PA;Hospmed Distribuidora Pará;Ananindeua;(91) 3226-1597;;compras@hospmedpa.com.br
;E;;;PA;Mapemi - Brasil - Distrib e logística farmac;Ananindeua;(92) 3182-4200;;compras@mapemi.com.br
;E;;;PA;NORTEMED;Castanhal;(91) 3711-4085;;nortemed.ltda@gmail.com
;E;;;PA;PARAMED;Belem;91 3254 6701;FABIO;PARAMED.1@HOTMAIL.COM
;E;;;PA;Prado Pharma;Santarém;(93) 3523-0480;;desafiopharma@gmail.com
ok;E;;;PA;Extrafarma;;;;felipe.santos@extrafarma.com.br
;E;;;PB;VASCONCELOS COM DE PROD FARMAC;Nov Floresta, PB;(83) 3374-1503;wilma;VASCONCELOS.COMPRASFARMA@GMAIL.COM
ok;E;;;PB;Distrib de Medic Brasil e Farmaum;João Pessoa - PB;(83) 4009-2200;walasson;compras@grupobrf1.com
ok;E;;;PB;Elfa Medicamentos - Corporativo;João Pessoa - PB;(83) 2106-2500;;renato.durval@grupoelfa.com.br
ok;E;;;PB;FARMACIA DIAS;CAMPINA GDE;83 3310 6000;EDSON;compras@larmedi.com.br
ok;E;;;PB;grupo elfa;João Pessoa - PB;83 2106 2435;;compras@grupoelfa.com.br
ok;E;;;PB;QUESALON DIST DE PROD FARMAC;João Pessoa, PB;(83) 3234-0646;;anselmo@ebron.com.br
;E;;;PE;ACRIPEL;Recife - PE;81 3267 1350;anderson;compras@acripel.com.br
;E;;;PE;Dismepe Distribuidora De Medicamentos;Recife - PE;(81) 3128-7496;paulo ;compras@dismepe.com.br
;E;;;PE;DISTRIBUIDORA SANTA MARIA;Recife - PE;81 3092 7990;MARCO;DSM@HOTLINK.COM.BR
;E;;;PE;DROGAFONTE;Recife - PE;(81) 2102-1845;juliana;garantiadepreco@drogafonte.com.br
;E;;;PE;Exclusive Farma Distribuidora;Recife - PE;(81) 3037-4040;fabiola ;vendas2@exclusivefarma.com
;E;;;PE;Exomed Representação e Distrib de Medicamentos Ltda;Recife - PE;(81) 3117-7766;daniel ;daniel.ferrari@exomed.com.br
;E;;;PE;Focus Distribuidora;J dos Guararapes - PE;(81) 3227-7011;joao ;joao@distribuidorafocus.com.br
;E;;;PE;Grupo ABS;Serra Talhada - PE;(87) 3831-3076;anderson;anderson.barros@grupoabs.farma.com.br
;E;;;PE;Grupo CDM - PE;Recife - PE;(81) 3202-0400;;compras.pe@grupocdm.com.br
;E;;;PE;IDEAL DIST DE MED;Recife - PE;81 3312 5656;;COBRANCA@IDEALDIST.COM.BR
;E;;;PE;MELHORFARMA DIST;JABOATAO ;(81) 3375-1353;KASSIA;KASSIAMELHORFARMA@GMAIL.COM
;E;;;PE;Oncoexo;Recife - PE;(81) 3034-5948;81 3268 6330;alexsandro.pereira@oncoexo.com.br
;E;;;PE;Pamed Distribuidora;Caruaru - PE;(81) 3136-7100;flavio;farmeddistribuidora@hotmail.com
;E;;;PE;PHARMAMED DIST;Recife - PE;81 3249 9838;manuela  janaina;JANAINA@PHARMAMEDISTRIBUIDORA.COM.BR
;E;;;PE;Pharmaplus Distribuidora de Medicamentos e Produtos Hospitalares;Afogados da Ingazeira - PE;(87) 3838-1652;tomas;compraspharmaplusdistribuidora@hotmail.com
ok;E;;;PE;PAGUE MENOS;;;;gcategorias@pmenos.com.br
ok;E;;;PE;;;;;gilmarcouto@farmaciasftb.com
ok;E;;;PE;;;;;site@farmarciasftb.com
;E;;;PI;A M Farma Distribuidora;Teresina - PI;(86) 3223-7807;junior;junioramfarma@gmail.com
;E;;;PI;ALTERNATIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA ME;Teresina - PI;(86) 3218-6072;;alternativadistribuidorapi@hotmail.com
;E;;;PI;CORELI;;TERESINA;ALEXANDRE;CORELIDISTRIBUIDORA@GMAIL.COM
;E;;;PI;DIMENSÃO DIST DE MED;Teresina - PI;86 3218 9600;CIRLEIA;COMPRAS1@DIMENSAODISTRIBUIDORA.COM.BR
;E;;;PI;DISTRIBUIDORA PARNAIBA DE MED;Teresina - PI;86 3133 8100;JOBSON;JOBSON.SERENO@GRUPONEFARMA.COM.BR
;E;;;PI;Droga Rocha (Distribuidora de Medicamentos LTDA);Teresina - PI;(86) 3198-0750;CARLOS;compras.drogarocha@drogarocha.com.br
;E;;;PI;Medfarma;Teresina - PI;(86) 3303-9915;josimar;atendimento@distribuidoramedfarma.com
;E;;;PI;TOTAL DISTRIBUIDORA DE BABOES;Teresina - PI;85 3311 2350;GLEIDSON;GLEIDSON.NOBRE@TOTALCOMERCIO.COM.BR
;E;;;PR;Distribuidora de Medicamentos Casarotto Ltda - DIMECAL;cascavel;(45) 3226-0351;cleiton;cleiton@dimecal.com.br
ok;E;;;PR;Angaí Distrbuidora;Colombo;(41) 3606-7535;leila;comercial_01@aangai.com.br
ok;E;;;PR;DROGAMAIS;LONDRINA;43 3372 2606;leandro;central.parcerias@drogamais.com.br
ok;E;;;PR;GiraBrasil Distribuidora;Curitiba;(41) 3285-5000;;vinicio.cardozo@girabrasil.com.br
ok;E;;;PR;Lumann Distribuidora de Medicamentos Ltda;fco beltrao;(46) 2601-0680;maicon;maiconlumann@gmail.com
ok;E;;;PR;Marymed Distribuidora de Medicamentos e Correlatos;maringa;(44) 3040-3818;lenita;compras@marymed.com.br
ok;E;;;PR;NDS - Distribuidora Prati Donaduzzi;toledo;45) 2103-7800;;ndsdistribuidora@ndsdistribuidora.com.br
ok;E;;;PR;Pontamed Farmacêutica;ponta grossa;(42) 2101-5151;rafael ;rafael@pontamed.com.br
ok;E;;;PR;PROHOSP Distribuidora de Medicamentos Ltda;Curitiba;(41) 3246-3376;;vendas@prohosp.com.br
ok;E;;;PR;Quimion Distribuidora Farmacêutica Ltda;LONDRINA;(43) 3321-1526;(43)30323210  eduardo;compras1@quimion.com.br
ok;E;;;PR;RM DISTRIBUIDORA DE MEDICAMENTOS - PENIEL;maringa;(44) 4009-3000;;atendimento@rmbr.com.br
ok;E;;;PR;Vision Distribuidora;apucarana;(43) 3033-8000;samuel ;compras@visionn.com.br
ok;E;;;PR;DISTRIBUIDORA DE MEDICAMENTOS CADIS;Pato Branco, PR;(46) 3225-2255;;joi@grupocadis.com.br
;E;;;RJ;CITYFARMA;Rio de Janeiro - RJ;;HUDSON;hudson.barreto@cityfarma.com.br
;E;;;RJ;DROGARIAS CONCEITO;Rio de Janeiro - RJ;21 2787 5385;CELIO;drogariasconceito.compras@outlook.com
;E;;;RJ;FAMED  DR EDUARDO ;NITEROI;21 3587 7302//21 99767 7581;MARIANE / VINICIUS;contato@famed.med.br
;E;;;RJ;RIO DROG ;Rio de Janeiro - RJ;21 21049900;RICARDO;ricardoscaroni@riodrogs.com.br
ok;E;;;RJ;Belinutri Distribuidora de Medicamentos Ltda.;Rio de Janeiro - RJ;(21) 3194-2200;;compras@belinutri.com.br
ok;E;;;RJ;Distrifar Distribuidora Ltda.;Rio de Janeiro - RJ;(21) 3194-9500;;rmfaria@distrifar.com.br
ok;E;;;RJ;Especifarma Comércio de Medicamentos e Pro Hospitalares;Rio de Janeiro - RJ;(21) 2417-9700;;cpr@especifarma.com.br
ok;E;;;RJ;Integralmed Distribuidora de Medicamentos LTDA;Niterói - RJ;(21) 2622-9710;;gustavo.nogueira@s3med.com.br
ok;E;;;RJ;Like Med Distribuidora de Oficinais e Correlatos;São João de Meriti - RJ;(21) 3162-0522;;likemeddistribuidora@gmail.com
ok;E;;;RJ;Megamed;São João de Meriti - RJ;(21) 2751-4701;jonatah;compras.rj@dislab.com.br
ok;E;;;RJ;Valente Pharma;Rio de Janeiro - RJ;(21) 2426-9439;antonio ;diretoria@valentepharma.com.br
ok;E;;;RJ;;;;;alan@medicamentosfutura.com.br
ok;E;;;RJ;;;;;alexandresuprafarma@gmail.com
ok;E;;;RJ;;;;;atendimento@farmapontual.com
ok;E;;;RJ;;;;;CLAUDIA@NOVAREDEDROGARIAS.COM.BR
ok;E;;;RJ;;;;;compras@s3med.com.br
;E;;;RN;Artmed;Natal - RN;(84) 3211-9821;ranieri ;artmedrn@artmedrn.com.br
;E;;;RN;CERTA MEDICAMENTOS;NATAL;;GILDSON;comercial@CERTAMEDICAMENTOS.COM.BR
;E;;;RN;DIMESE;CAICO;84 3421 1380;;BETANIAMEDEIROS22@GMAIL.COM
;E;;;RN;Dismese;Caicó - RN;0800 084 7000;;compras@dismese.com.br
;E;;;RN;Distribuidora Roma Natal;Parnamirim - RN;(84) 3643-6677;;cristiana@romadistribuidora.com.br
;E;;;RN;DISTRIFARMA;Caicó - RN;(84) 3417-1930;jessica;compras@grupodistrifarma.com.br
;E;;;RN;Nacional Comércio - CENTRO DE DISTRIBUIÇÃO;Natal - RN;(84) 3025-9397;;compras02@nacionalstor.com
;E;;;RN;POLYFARMA DIST DE MED;NATAL;84 3223 4039;WILSON emanoel ;polyfarmanatal@hotmail.com
;E;;;RN;POTIGUAR FARMACEUTICA;NATAL;84 3605 9953;BRUNO;PAULOCESAR@POTIGUARFARMACEUTICA.COM.BR
;E;;;RN;PRONTOMEDICA DISTRIBUIDORA DE PRODUTOS PARA SAÚDE;Natal - RN;(84) 3092-8000;;compras@prontomedica.com.br
;E;;;RN;RJ3 Distribuidora de Medicamentos;Natal - RN;(84) 3346-6304;;contato@grupoalphamed.com
;E;;;RN;Sodimed Comércio e Rep Ltda;Natal - RN;(84) 3213-4466;;faturamentosodimed@gmail.com
;E;;;RO;DISTRIMED PRODUTOS HOSPITALARES;Cacoal;(69) 3441-9708;;distrimedph@hotmail.com
;E;;;RO;Minas Distribuidora;Ji-Paraná - RO;(68) 3223-7553;sales ;sales_jipr@hotmail.com
ok;E;;;RO;DIMEFE - Distr de Medic Fernandes;Ji-Paraná - RO;(69) 3411-2100;;dimefe.cabrini@gmail.com
ok;E;;;RO;MINAS DISTRIBUIDORA PRODUTOS FARMACÊUTICOS;Porto Velho, RO;(69) 3421 5591;sales ;sales@minasdistribuidora.com.br
ok;E;;;RO;Sou Mais Saúde;Vilhena - RO;(69) 3322-4963;;adm@soumaissaude.com.br
;E;;;RR;FARMAVIGOR;;;paulo;vigorfarma@gmail.com
;E;;;RR;Mapemi - Brasil Distribuição e logística farmacêutica;Manaus - AM;(92) 3182-4200;darciano ;comprasfarma@mapemi.com.br
;E;;;RR;SANTA MÔNICA DIST. DE PROD FARMAC LTDA- BOA VISTA RR;Boa Vista;95) 3625-9958;luis;luis.santos@santamonicadist.com.br
ok;E;;;RR;FARMAVIGOR;Boa Vista, RR;(95) 3628-5443;vidia;vigorfarma@gmail.com
ok;E;;;RR;WM DISTRIBUIDORA DE MEDICAMENTOS;Boa Vista, RR;(95) 3623-3879   /6115;walber;walber@wmodontomedico.com.br
ok;E;;;RS;AGAFARMA;;51 3349 3100;;negociacao@agafarma.com.br
ok;E;;;RS;Cervosul Distribuidora de Medicamentos;eldorado do sul;51 3230 4000;;compras@cervosul.com.br
ok;E;;;RS;Ciamed Distribuidora;encantado rs;(51) 3751-9300;marina ;marina@ciamedrs.com.br
ok;E;;;RS;comercial Trimed;;;RENATA E OU VANESSA; COMPRAS@COMERCIALTRIMED.COM.BR
ok;E;;;RS;Dalmedsul Medicamentos Eireli;Entre Rios do Sul;(54) 3544-1800;54 996291742;JACSON   3 OU QUARTA FEIRA 
ok;E;;;RS;DIFREMEL;RS;55 3744 4377;NEUSA;compras@difremel.com.br
ok;E;;;RS;Farmasul Distribuidora;porto alegre;;;rogerio   marcos  gte      comercial@distribuidorafarmasul.com.br
ok;E;;;RS;Focofarma Distribuidora de Medicamentos; ;0800 646 1005;;alex    alex.focofarma@gmail.com
ok;E;;;RS;Gauchafarma;porto alegre;(51) 3382-2000;;lucas     compras5@gauchafarma.com
ok;E;;;RS;Gemil Distribuidora de Produtos Farmacêuticos;Santa Maria;(55) 3027-9550;55 9 9977 1811;gemiltelevendas@hotmail.com
ok;E;;;RS;grupo Maiora;Canoas;(51) 3032-8900;;patricia.roldao@grupomaiora.com.br
ok;E;;;RS;Kley Hertz;porto alegre;(51) 3346-8488;;insumos@kleyhertz.com.br
ok;E;;;RS;Licimed Distribuidora de Medicamentos e Correlatos LTDA;porto alegre;(51) 3076-8181;priscila  oncologico;licimed@licimed.com.br
ok;E;;;RS;Madre Distribuidora de Medicamentos;Santa Cruz do Sul;(51) 3121-1213;;jackson@madre.med.br
ok;E;;;RS;Medlive Produtos Médico Hospitalares;Vera Cruz;(51) 3718-7600;vinicius ;vmarques@medlive.com.br
ok;E;;;RS;Neosul Distribuidora De Medicamentos;porto alegre;(51) 3061-8000;cristiane;compras.rs@neosuldistribuidora.com.br
ok;E;;;RS;Oniz Distribuidora;Cachoeirinha;(51) 2136-7969;roberta;roberta@minha.far.br
ok;E;;;RS;Riopasa - Distribuidora Medicamentos;porto alegre;(51) 3344-0401/ 3368 7158;taiuane  ;riopasa_medicamentos@hotmail.com
ok;E;;;RS;RS Distribuidora de Medicamentos Ltda - Megabem;Caxias d oSul;(54) 99145-4524;ligar daqui um pouco ;santini@rsdistribuidora.com.br
ok;E;;;RS;;;;;COMERCIAL@VIDAFARMACIAS.COM.BR
ok;E;;;SC;ASAMED Distribuidora;são jose;(48) 3034-5714;andrea;compras@asamed.com.br
ok;E;;;SC;Dalmed Distribuidora de Medicamentos;chapecó;(49) 3331-3010;luiz ;dalmed@dalmed.com.br  luiz@dalmed.com.br
ok;E;;;SC;DIFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;;(47) 3345-1410;;junior@difarma.com.br
ok;E;;;SC;Diprosul Distribuidora;são jose;(48) 3112-4300;marcio;marcio@diprosul.com.br
ok;E;;;SC;Edera Distribuidora de Medicamentos;ararangua;48-3524 4380;;adm@edera.com.br  
ok;E;;;SC;Farmamed Distribuidora;Blumenau; (47) 3327-3416;;farmameddistribuidora@gmail.com
ok;E;;;SC;Infinity Medicamentos;joinville;(47) 3202-5440;vivane;financeiro@infinitymed.com.br
ok;E;;;SC;Multimed Medicamentos;Blumenau;(47) 3334-1818;;sid@multimedmedicamentos.com.br
ok;E;;;SC;Neobras Distribuidora De Medicamentos;palhoca;(48) 3035-0400;karine;andrey@neobras.com.br
ok;E;;;SC;Pelegrini Distribuidora de Produtos Farmacêuticos;gov elco ramos ;(48) 3285-4444;;compras@pelegrinionline.com.br
ok;E;;;SC;Prosaude Distribuidora de Medicamentos;chapecó;(49) 3324-5585;karine;gerencia@prosaudesc.com.br
ok;E;;;SC;Riomed;Rio do Sul;(47) 3531-8000;roberta;roberta@novariomed.com.br
ok;E;;;SC;S&R Distribuidora de Medicamentos;chapecó;(49) 3323-0360;cleide;compras@srdistribuidora.net.br
