enviado email;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;;;;;
E;MG;ENTREFARMA  //   FARMARCAS;LUZ;11 3283 3737;CARLOS EDUARDO;thiagosampaio60@gmail.com;;;;;
E;MG;GILDROGAS;GOV ;33 2101 4400;DOUGLAS;thiagosampaio60@gmail.com;;;;;
E;MG;LUCHE FARMA DIST MED ;pouso alegre;35 2102 8300;;thiagosampaio60@gmail.com;;;;;
E;MG;Minas Vendas Distribuição;;(34) 3225-0518;;thiagosampaio60@gmail.com;;;;;
E;MG;MINASFARMA;monte claros;38 3212 3188;MARCOS;thiagosampaio60@gmail.com;;;;;
E;MG;Realpharma Distribuidora de Medicamentos;cons lafaiete;(31) 3762-0444;ANA LUCIA;thiagosampaio60@gmail.com;;;;;
E;MG;TSN OLIV COM ATAC;CARATINGA;33 3322 3375;TIAGO;thiagosampaio60@gmail.com;;;;;
E;MG;Distribuidora Gama - Rio de Janeiro;Belford Roxo - RJ;031 3135031700;luana;thiagosampaio60@gmail.com;;;;;
E;MG;divimed;;;;thiagosampaio60@gmail.com;;;;;
E;MG;GIRO FARMA ;JUIZ DE FORA ;(32) 3216-6106 / (32) 3215-0514;;thiagosampaio60@gmail.com;;;;;
E;MG;rede mgfarma;;;;thiagosampaio60@gmail.com;;;;;
E;MG;rede minasmais;;;;thiagosampaio60@gmail.com;;;;;
E;MG;rede nova drogarias;;;;thiagosampaio60@gmail.com;;;;;
E;MS;DP4 MS;Campo Grande - MS;(67) 3345-1600;;thiagosampaio60@gmail.com;;;;;
E;MS;JAT Distribuidora;Campo Grande - MS;(67) 3047-9300;;thiagosampaio60@gmail.com;;;;;
E;MS;Delta Medicamentos;Campo Grande - MS;(67) 4002-6400;;thiagosampaio60@gmail.com;;;;;
E;MT;Marka Distribuidora Medicamentos;Várzea Grande - MT;(65) 3694-7537;;thiagosampaio60@gmail.com;;;;;
E;MT;MT PHARMACY DISTRIB DE MEDICAM;Cuiabá - MT;(65) 2127-0380;salvioni;thiagosampaio60@gmail.com;;;;;
E;MT;;;;;thiagosampaio60@gmail.com;;;;;
E;PA;Altamed Distribuidora de Medicamentos Ltda;Ananindeua;(91) 3346-0446;bruno ;thiagosampaio60@gmail.com;;;;;
E;PA;Amazonmed;Belem;(91) 3231-9020;;thiagosampaio60@gmail.com;;;;;
E;PA;American Farma;Ananindeua;(91) 3210-3800;;thiagosampaio60@gmail.com;;;;;
E;PA;BENTES E SOUZA ;Manaus - AM;98 3261 9100;EDSOM / NUBIA;thiagosampaio60@gmail.com;;;;;
E;PA;BRAGANTINA DISTRIBUIDORA;BRAGANÇA;91 3425 2450;RAISSA;thiagosampaio60@gmail.com;;;;;
E;PA;Brasfarma;Belem;(91) 3131-6200;;thiagosampaio60@gmail.com;;;;;
E;PA;Centrofarma Distribuidora Farmacêutica;Castanhal;(91) 3721-3302;63 32192800;thiagosampaio60@gmail.com;;;;;
E;PA;COM E REP PRADO;Belem;;MAURO;thiagosampaio60@gmail.com;;;;;
E;PA;Compharma Comercio de Medicamentos;Santarém;(93) 3512-0351;;thiagosampaio60@gmail.com;;;;;
E;PA;DIMEC DISTRIB;SANTA M.DO PARA;91 3442 1883;;thiagosampaio60@gmail.com;;;;;
E;PA;Distribuidora Millenium;Belem;(91) 3257-9511;mauricio;thiagosampaio60@gmail.com;;;;;
E;PA;Distribuidora MM Lobato Medicanentos;Belem;(91) 3201-1000;;thiagosampaio60@gmail.com;;;;;
E;PA;Distribuidora Pérola Pharma De Medicam;Santarém;(93) 3522-2912;;thiagosampaio60@gmail.com;;;;;
E;PA;Distribuidora Cristalfarma;Ananindeua;(91) 3255-5616;katia.lopes;thiagosampaio60@gmail.com;;;;;
E;PA;Farmaceutica Distribuidora Ltda;Ananindeua;(91) 3223-2320;joao ;thiagosampaio60@gmail.com;;;;;
E;PA;Hospmed Distribuidora Pará;Ananindeua;(91) 3226-1597;;thiagosampaio60@gmail.com;;;;;
E;PA;Mapemi - Brasil - Distrib e logística farmac;Ananindeua;(92) 3182-4200;;thiagosampaio60@gmail.com;;;;;
E;PA;NORTEMED;Castanhal;(91) 3711-4085;;thiagosampaio60@gmail.com;;;;;
E;PA;PARAMED;Belem;91 3254 6701;FABIO;thiagosampaio60@gmail.com;;;;;
E;PA;Prado Pharma;Santarém;(93) 3523-0480;;thiagosampaio60@gmail.com;;;;;
E;PA;Extrafarma;;;;thiagosampaio60@gmail.com;;;;;
E;PB;VASCONCELOS COM DE PROD FARMAC;Nov Floresta, PB;(83) 3374-1503;wilma;thiagosampaio60@gmail.com;;;;;
E;PB;Distrib de Medic Brasil e Farmaum;João Pessoa - PB;(83) 4009-2200;walasson;thiagosampaio60@gmail.com;;;;;
E;PB;Elfa Medicamentos - Corporativo;João Pessoa - PB;(83) 2106-2500;;thiagosampaio60@gmail.com;;;;;
E;PB;FARMACIA DIAS;CAMPINA GDE;83 3310 6000;EDSON;thiagosampaio60@gmail.com;;;;;
E;PB;grupo elfa;João Pessoa - PB;83 2106 2435;;thiagosampaio60@gmail.com;;;;;
E;PB;QUESALON DIST DE PROD FARMAC;João Pessoa, PB;(83) 3234-0646;;thiagosampaio60@gmail.com;;;;;
E;PE;ACRIPEL;Recife - PE;81 3267 1350;anderson;thiagosampaio60@gmail.com;;;;;
E;PE;Dismepe Distribuidora De Medicamentos;Recife - PE;(81) 3128-7496;paulo ;thiagosampaio60@gmail.com;;;;;
E;PE;DISTRIBUIDORA SANTA MARIA;Recife - PE;81 3092 7990;MARCO;thiagosampaio60@gmail.com;;;;;
E;PE;DROGAFONTE;Recife - PE;(81) 2102-1845;juliana;thiagosampaio60@gmail.com;;;;;
E;PE;Exclusive Farma Distribuidora;Recife - PE;(81) 3037-4040;fabiola ;thiagosampaio60@gmail.com;;;;;
E;PE;Exomed Representação e Distrib de Medicamentos Ltda;Recife - PE;(81) 3117-7766;daniel ;thiagosampaio60@gmail.com;;;;;
E;PE;Focus Distribuidora;J dos Guararapes - PE;(81) 3227-7011;joao ;thiagosampaio60@gmail.com;;;;;
E;PE;Grupo ABS;Serra Talhada - PE;(87) 3831-3076;anderson;thiagosampaio60@gmail.com;;;;;
E;PE;Grupo CDM - PE;Recife - PE;(81) 3202-0400;;thiagosampaio60@gmail.com;;;;;
E;PE;IDEAL DIST DE MED;Recife - PE;81 3312 5656;;thiagosampaio60@gmail.com;;;;;
E;PE;MELHORFARMA DIST;JABOATAO ;(81) 3375-1353;KASSIA;thiagosampaio60@gmail.com;;;;;
E;PE;Oncoexo;Recife - PE;(81) 3034-5948;81 3268 6330;thiagosampaio60@gmail.com;;;;;
E;PE;Pamed Distribuidora;Caruaru - PE;(81) 3136-7100;flavio;thiagosampaio60@gmail.com;;;;;
E;PE;PHARMAMED DIST;Recife - PE;81 3249 9838;manuela  janaina;thiagosampaio60@gmail.com;;;;;
E;PE;Pharmaplus Distribuidora de Medicamentos e Produtos Hospitalares;Afogados da Ingazeira - PE;(87) 3838-1652;tomas;thiagosampaio60@gmail.com;;;;;
E;PE;PAGUE MENOS;;;;thiagosampaio60@gmail.com;;;;;
E;PE;;;;;thiagosampaio60@gmail.com;;;;;
E;PE;;;;;thiagosampaio60@gmail.com;;;;;
E;PI;A M Farma Distribuidora;Teresina - PI;(86) 3223-7807;junior;thiagosampaio60@gmail.com;;;;;
E;PI;ALTERNATIVA DISTRIBUIDORA DE MEDICAMENTOS LTDA ME;Teresina - PI;(86) 3218-6072;;thiagosampaio60@gmail.com;;;;;
E;PI;CORELI;;TERESINA;ALEXANDRE;thiagosampaio60@gmail.com;;;;;
E;PI;DIMENSÃO DIST DE MED;Teresina - PI;86 3218 9600;CIRLEIA;thiagosampaio60@gmail.com;;;;;
E;PI;DISTRIBUIDORA PARNAIBA DE MED;Teresina - PI;86 3133 8100;JOBSON;thiagosampaio60@gmail.com;;;;;
E;PI;Droga Rocha (Distribuidora de Medicamentos LTDA);Teresina - PI;(86) 3198-0750;CARLOS;thiagosampaio60@gmail.com;;;;;
E;PI;Medfarma;Teresina - PI;(86) 3303-9915;josimar;thiagosampaio60@gmail.com;;;;;
E;PI;TOTAL DISTRIBUIDORA DE BABOES;Teresina - PI;85 3311 2350;GLEIDSON;thiagosampaio60@gmail.com;;;;;
E;PR;Distribuidora de Medicamentos Casarotto Ltda - DIMECAL;cascavel;(45) 3226-0351;cleiton;thiagosampaio60@gmail.com;;;;;
E;PR;Angaí Distrbuidora;Colombo;(41) 3606-7535;leila;thiagosampaio60@gmail.com;;;;;
E;PR;DROGAMAIS;LONDRINA;43 3372 2606;leandro;thiagosampaio60@gmail.com;;;;;
E;PR;GiraBrasil Distribuidora;Curitiba;(41) 3285-5000;;thiagosampaio60@gmail.com;;;;;
E;PR;Lumann Distribuidora de Medicamentos Ltda;fco beltrao;(46) 2601-0680;maicon;thiagosampaio60@gmail.com;;;;;
E;PR;Marymed Distribuidora de Medicamentos e Correlatos;maringa;(44) 3040-3818;lenita;thiagosampaio60@gmail.com;;;;;
E;PR;NDS - Distribuidora Prati Donaduzzi;toledo;45) 2103-7800;;thiagosampaio60@gmail.com;;;;;
E;PR;Pontamed Farmacêutica;ponta grossa;(42) 2101-5151;rafael ;thiagosampaio60@gmail.com;;;;;
E;PR;PROHOSP Distribuidora de Medicamentos Ltda;Curitiba;(41) 3246-3376;;thiagosampaio60@gmail.com;;;;;
E;PR;Quimion Distribuidora Farmacêutica Ltda;LONDRINA;(43) 3321-1526;(43)30323210  eduardo;thiagosampaio60@gmail.com;;;;;
E;PR;RM DISTRIBUIDORA DE MEDICAMENTOS - PENIEL;maringa;(44) 4009-3000;;thiagosampaio60@gmail.com;;;;;
E;PR;Vision Distribuidora;apucarana;(43) 3033-8000;samuel ;thiagosampaio60@gmail.com;;;;;
E;PR;DISTRIBUIDORA DE MEDICAMENTOS CADIS;Pato Branco, PR;(46) 3225-2255;;thiagosampaio60@gmail.com;;;;;
E;RJ;CITYFARMA;Rio de Janeiro - RJ;;HUDSON;thiagosampaio60@gmail.com;;;;;
E;RJ;DROGARIAS CONCEITO;Rio de Janeiro - RJ;21 2787 5385;CELIO;thiagosampaio60@gmail.com;;;;;
E;RJ;FAMED  DR EDUARDO ;NITEROI;21 3587 7302//21 99767 7581;MARIANE / VINICIUS;thiagosampaio60@gmail.com;;;;;
E;RJ;RIO DROG ;Rio de Janeiro - RJ;21 21049900;RICARDO;thiagosampaio60@gmail.com;;;;;
E;RJ;Belinutri Distribuidora de Medicamentos Ltda.;Rio de Janeiro - RJ;(21) 3194-2200;;thiagosampaio60@gmail.com;;;;;
E;RJ;Distrifar Distribuidora Ltda.;Rio de Janeiro - RJ;(21) 3194-9500;;thiagosampaio60@gmail.com;;;;;
E;RJ;Especifarma Comércio de Medicamentos e Pro Hospitalares;Rio de Janeiro - RJ;(21) 2417-9700;;thiagosampaio60@gmail.com;;;;;
E;RJ;Integralmed Distribuidora de Medicamentos LTDA;Niterói - RJ;(21) 2622-9710;;thiagosampaio60@gmail.com;;;;;
E;RJ;Like Med Distribuidora de Oficinais e Correlatos;São João de Meriti - RJ;(21) 3162-0522;;thiagosampaio60@gmail.com;;;;;
E;RJ;Megamed;São João de Meriti - RJ;(21) 2751-4701;jonatah;thiagosampaio60@gmail.com;;;;;
E;RJ;Valente Pharma;Rio de Janeiro - RJ;(21) 2426-9439;antonio ;thiagosampaio60@gmail.com;;;;;
E;RJ;;;;;thiagosampaio60@gmail.com;;;;;
E;RJ;;;;;thiagosampaio60@gmail.com;;;;;
E;RJ;;;;;thiagosampaio60@gmail.com;;;;;
E;RJ;;;;;thiagosampaio60@gmail.com;;;;;
E;RJ;;;;;thiagosampaio60@gmail.com;;;;;
E;RN;Artmed;Natal - RN;(84) 3211-9821;ranieri ;thiagosampaio60@gmail.com;;;;;
E;RN;CERTA MEDICAMENTOS;NATAL;;GILDSON;thiagosampaio60@gmail.com;;;;;
E;RN;DIMESE;CAICO;84 3421 1380;;thiagosampaio60@gmail.com;;;;;
E;RN;Dismese;Caicó - RN;0800 084 7000;;thiagosampaio60@gmail.com;;;;;
E;RN;Distribuidora Roma Natal;Parnamirim - RN;(84) 3643-6677;;thiagosampaio60@gmail.com;;;;;
E;RN;DISTRIFARMA;Caicó - RN;(84) 3417-1930;jessica;thiagosampaio60@gmail.com;;;;;
E;RN;Nacional Comércio - CENTRO DE DISTRIBUIÇÃO;Natal - RN;(84) 3025-9397;;thiagosampaio60@gmail.com;;;;;
E;RN;POLYFARMA DIST DE MED;NATAL;84 3223 4039;WILSON emanoel ;thiagosampaio60@gmail.com;;;;;
E;RN;POTIGUAR FARMACEUTICA;NATAL;84 3605 9953;BRUNO;thiagosampaio60@gmail.com;;;;;
E;RN;PRONTOMEDICA DISTRIBUIDORA DE PRODUTOS PARA SAÚDE;Natal - RN;(84) 3092-8000;;thiagosampaio60@gmail.com;;;;;
E;RN;RJ3 Distribuidora de Medicamentos;Natal - RN;(84) 3346-6304;;thiagosampaio60@gmail.com;;;;;
E;RN;Sodimed Comércio e Rep Ltda;Natal - RN;(84) 3213-4466;;thiagosampaio60@gmail.com;;;;;
E;RO;DISTRIMED PRODUTOS HOSPITALARES;Cacoal;(69) 3441-9708;;thiagosampaio60@gmail.com;;;;;
E;RO;Minas Distribuidora;Ji-Paraná - RO;(68) 3223-7553;sales ;thiagosampaio60@gmail.com;;;;;
E;RO;DIMEFE - Distr de Medic Fernandes;Ji-Paraná - RO;(69) 3411-2100;;thiagosampaio60@gmail.com;;;;;
E;RO;MINAS DISTRIBUIDORA PRODUTOS FARMACÊUTICOS;Porto Velho, RO;(69) 3421 5591;sales ;thiagosampaio60@gmail.com;;;;;
E;RO;Sou Mais Saúde;Vilhena - RO;(69) 3322-4963;;thiagosampaio60@gmail.com;;;;;
E;RR;FARMAVIGOR;;;paulo;thiagosampaio60@gmail.com;;;;;
E;RR;Mapemi - Brasil Distribuição e logística farmacêutica;Manaus - AM;(92) 3182-4200;darciano ;thiagosampaio60@gmail.com;;;;;
E;RR;SANTA MÔNICA DIST. DE PROD FARMAC LTDA- BOA VISTA RR;Boa Vista;95) 3625-9958;luis;thiagosampaio60@gmail.com;;;;;
E;RR;FARMAVIGOR;Boa Vista, RR;(95) 3628-5443;vidia;thiagosampaio60@gmail.com;;;;;
E;RR;WM DISTRIBUIDORA DE MEDICAMENTOS;Boa Vista, RR;(95) 3623-3879   /6115;walber;thiagosampaio60@gmail.com;;;;;
E;RS;AGAFARMA;;51 3349 3100;;thiagosampaio60@gmail.com;;;;;
E;RS;Cervosul Distribuidora de Medicamentos;eldorado do sul;51 3230 4000;;thiagosampaio60@gmail.com;;;;;
E;RS;Ciamed Distribuidora;encantado rs;(51) 3751-9300;marina ;thiagosampaio60@gmail.com;;;;;
E;RS;comercial Trimed;;;RENATA E OU VANESSA;thiagosampaio60@gmail.com;;;;;
E;RS;Dalmedsul Medicamentos Eireli;Entre Rios do Sul;(54) 3544-1800;54 996291742;thiagosampaio60@gmail.com;;;;;
E;RS;DIFREMEL;RS;55 3744 4377;NEUSA;thiagosampaio60@gmail.com;;;;;
E;RS;Farmasul Distribuidora;porto alegre;;;thiagosampaio60@gmail.com;;;;;
E;RS;Focofarma Distribuidora de Medicamentos; ;0800 646 1005;;thiagosampaio60@gmail.com;;;;;
E;RS;Gauchafarma;porto alegre;(51) 3382-2000;;thiagosampaio60@gmail.com;;;;;
E;RS;Gemil Distribuidora de Produtos Farmacêuticos;Santa Maria;(55) 3027-9550;55 9 9977 1811;thiagosampaio60@gmail.com;;;;;
E;RS;grupo Maiora;Canoas;(51) 3032-8900;;thiagosampaio60@gmail.com;;;;;
E;RS;Kley Hertz;porto alegre;(51) 3346-8488;;thiagosampaio60@gmail.com;;;;;
E;RS;Licimed Distribuidora de Medicamentos e Correlatos LTDA;porto alegre;(51) 3076-8181;priscila  oncologico;thiagosampaio60@gmail.com;;;;;
E;RS;Madre Distribuidora de Medicamentos;Santa Cruz do Sul;(51) 3121-1213;;thiagosampaio60@gmail.com;;;;;
E;RS;Medlive Produtos Médico Hospitalares;Vera Cruz;(51) 3718-7600;vinicius ;thiagosampaio60@gmail.com;;;;;
E;RS;Neosul Distribuidora De Medicamentos;porto alegre;(51) 3061-8000;cristiane;thiagosampaio60@gmail.com;;;;;
E;RS;Oniz Distribuidora;Cachoeirinha;(51) 2136-7969;roberta;thiagosampaio60@gmail.com;;;;;
E;RS;Riopasa - Distribuidora Medicamentos;porto alegre;(51) 3344-0401/ 3368 7158;taiuane  ;thiagosampaio60@gmail.com;;;;;
E;RS;RS Distribuidora de Medicamentos Ltda - Megabem;Caxias d oSul;(54) 99145-4524;ligar daqui um pouco ;thiagosampaio60@gmail.com;;;;;
E;RS;;;;;thiagosampaio60@gmail.com;;;;;
E;SC;ASAMED Distribuidora;são jose;(48) 3034-5714;andrea;thiagosampaio60@gmail.com;;;;;
E;SC;Dalmed Distribuidora de Medicamentos;chapecó;(49) 3331-3010;luiz ;thiagosampaio60@gmail.com;;;;;
E;SC;DIFARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA;;(47) 3345-1410;;thiagosampaio60@gmail.com;;;;;
E;SC;Diprosul Distribuidora;são jose;(48) 3112-4300;marcio;thiagosampaio60@gmail.com;;;;;
E;SC;Edera Distribuidora de Medicamentos;ararangua;48-3524 4380;;thiagosampaio60@gmail.com;;;;;
E;SC;Farmamed Distribuidora;Blumenau; (47) 3327-3416;;thiagosampaio60@gmail.com;;;;;
E;SC;Infinity Medicamentos;joinville;(47) 3202-5440;vivane;thiagosampaio60@gmail.com;;;;;
E;SC;Multimed Medicamentos;Blumenau;(47) 3334-1818;;thiagosampaio60@gmail.com;;;;;
E;SC;Neobras Distribuidora De Medicamentos;palhoca;(48) 3035-0400;karine;thiagosampaio60@gmail.com;;;;;
E;SC;Pelegrini Distribuidora de Produtos Farmacêuticos;gov elco ramos ;(48) 3285-4444;;thiagosampaio60@gmail.com;;;;;
E;SC;Prosaude Distribuidora de Medicamentos;chapecó;(49) 3324-5585;karine;thiagosampaio60@gmail.com;;;;;
E;SC;Riomed;Rio do Sul;(47) 3531-8000;roberta;thiagosampaio60@gmail.com;;;;;
E;SC;S&R Distribuidora de Medicamentos;chapecó;(49) 3323-0360;cleide;thiagosampaio60@gmail.com;;;;;
E;SC;STYLOFARMA;Blumenau;47 3327 8012;LEONARDO;thiagosampaio60@gmail.com;;;;;
